"","SoC","Exp"
"408",14993.6734727106,43611.5840550318
"409",18547.8403300472,45769.8895462951
"410",15661.1616110542,49888.678917907
"411",16177.7195532446,39219.6878761508
"412",18051.3115618155,46956.4894697175
"413",15192.7046067939,45244.6899883347
"414",16998.1341039513,41833.5370827937
"415",16270.9243366621,52708.0680100938
"416",18410.6896270907,54312.1470730666
"417",16360.6105976709,50454.469748733
"418",17004.5959755775,49406.1065669082
"419",16973.0288520657,51361.2575327689
"420",16473.1585089759,48117.1006911247
"421",16469.032988413,48627.946442035
"422",18844.4605085288,51408.2273841936
"423",16708.2781472391,52435.2228187446
"424",16017.4111382474,48532.8078885788
"425",17909.4290658378,52936.8036176239
"426",16947.4821663003,48883.4345823682
"427",17137.8512811681,43283.7686916527
"428",18264.8291882844,49841.0125184493
"429",15899.7027732562,45938.5137594027
"430",19020.4573289394,48677.9764185028
"431",16958.9174285796,43939.9797425864
"432",17654.2108247093,49003.4001101694
"433",17140.7777841573,45175.542471331
"434",18459.8835234594,53825.3775512645
"435",17497.2423039463,49805.8190673352
"436",16510.656339004,47421.6090136279
"437",15570.976585834,51573.5024916825
"438",17923.3724257188,47841.3417479013
"439",17352.6162596588,52473.7646446962
"440",16961.5533444165,50786.0122178767
"441",18356.7727705717,51128.0610261802
"442",16146.9899920569,44988.1705041759
"443",16750.1945729312,49766.0966965457
"444",16865.5895026301,58669.6319622567
"445",17013.5123664347,61277.428743646
"446",15912.6032434971,49946.3936040431
"447",16451.7413574811,52097.8570944108
"448",16921.0588671208,46754.6262068776
"449",19161.7432989709,55957.8330421869
"450",18722.9011731966,55316.2687763648
"451",16572.7812399111,46126.1530939269
"452",16793.9547689876,53730.5592494228
"453",17221.2108055764,43464.5249565737
"454",19928.3314648454,55213.9492861804
"455",18210.1553071083,61694.4439888879
"456",19725.5104418526,54481.1892762185
"457",15696.5453122484,47188.7310383116
"458",18556.2067155891,50722.9345412043
"459",17240.3321488151,45062.1313968975
"460",16399.0609611505,49049.9846326713
"461",17760.7093606418,46574.2794356899
"462",17755.7719474526,48170.5422578506
"463",17288.1440040526,49570.3332003511
"464",19967.3919382339,53235.6263006289
"465",16553.5635496819,48474.9277743788
"466",16446.4555341878,46177.2625962126
"467",16896.4312646493,45658.5831755432
"468",17284.6875578718,44677.3527862099
"469",16578.7275667173,51756.1964080588
"470",16742.8587545945,49610.2954079768
"471",17937.6174547164,48591.6285723969
"472",17236.2394560032,59912.363232586
"473",17751.1775922455,49520.9489879597
"474",21228.2275658195,60568.3118285587
"475",16914.0903947846,50079.5115402977
"476",16248.9525536786,49022.654482608
"477",16963.4777965659,48465.831958195
"478",18098.3544664649,52553.4632039394
"479",15571.1667735161,52686.4898744727
"480",17901.2024066755,52434.255619672
"481",19207.8998619191,50259.8577571577
"482",17684.4707865652,48712.2495442337
"483",16163.1150672456,41088.19737967
"484",16985.7317434233,50796.5739482008
"485",18102.7937226287,46779.0576123524
"486",16971.5449445285,47328.3657199972
"487",19847.6953733284,55961.1964463222
"488",18558.4018797814,59973.1523769796
"489",16087.4729470721,40356.8970382176
